glass,ls,weight,98,1,0.539906,0.769953,89,1,0.58216,0.79108,1.55249
glass,ls,eul,103,1,0.516432,0.393438,86,0.992126,0.596244,0.469531,2.5037
glass,ls,squared,99,1,0.535211,0.286451,85,0.992188,0.600939,0.355507,2.06565
iris,ls,weight,21,1,0.86,0.93,16,1,0.893333,0.946667,0.261901
iris,ls,squared,17,1,0.886667,0.786178,14,0.992647,0.906667,0.81,0.242468
iris,ls,eul,17,1,0.886667,0.830497,14,0.992647,0.906667,0.849456,0.234937
blogger,ls,weight,25,1,0.489796,0.744898,22,1,0.55102,0.77551,0.063983
blogger,ls,eul,25,1,0.489796,0.3678,21,0.964286,0.571429,0.427767,0.064199
blogger,ls,squared,25,1,0.489796,0.2399,21,0.964286,0.571429,0.303624,0.064211
bcw,ls,weight,396,1,0.429395,0.714697,347,1,0.5,0.75,167.808
bcw,ls,eul,396,1,0.429395,0.31213,311,0.955614,0.551873,0.404173,234.288
bcw,ls,squared,395,1,0.430014,0.184912,309,0.953125,0.554113,0.27893,238.828
australian,ls,weight,363,1,0.473913,0.736957,306,1,0.556522,0.778261,206.41
australian,ls,eul,366,1,0.469565,0.348778,287,0.977668,0.584058,0.448159,243.929
australian,ls,squared,365,1,0.471014,0.221855,241,0.933185,0.650725,0.368748,366.234
pima,ls,weight,397,1,0.483073,0.741536,334,1,0.565104,0.782552,301.262
pima,ls,eul,398,1,0.481771,0.360208,301,0.965739,0.608073,0.465009,390.709
pima,ls,squared,399,1,0.480469,0.23085,322,0.988789,0.580729,0.329727,426.267
glass,ls,weight,97,1,0.544601,0.7723,88,1,0.586854,0.793427,1.53109
glass,ls,eul,102,1,0.521127,0.398028,84,0.976744,0.605634,0.469531,2.35893
glass,ls,squared,99,1,0.535211,0.286451,86,0.984252,0.596244,0.344398,2.11551
iris,ls,weight,20,1,0.866667,0.933333,17,1,0.886667,0.943333,0.286288
iris,ls,squared,20,1,0.866667,0.751111,17,1,0.886667,0.786178,0.28458
iris,ls,eul,20,1,0.866667,0.802528,17,1,0.886667,0.830497,0.286012
blogger,ls,weight,22,1,0.592593,0.796296,22,1,0.592593,0.796296,0.067794
blogger,ls,eul,22,1,0.592593,0.470628,22,1,0.592593,0.470628,0.067436
blogger,ls,squared,22,1,0.592593,0.351166,22,1,0.592593,0.351166,0.067382
bcw,ls,weight,398,1,0.425685,0.712843,347,1,0.499278,0.749639,171.013
glass,ls,weight,100,1,0.530516,0.765258,91,1,0.57277,0.786385,0.981888
glass,ls,eul,96,1,0.549296,0.426027,86,0.992126,0.596244,0.469531,1.28823
glass,ls,squared,99,1,0.535211,0.286451,82,0.961832,0.615023,0.349931,0.966702
iris,ls,weight,21,1,0.85906,0.92953,17,1,0.885906,0.942953,0.165151
iris,ls,squared,21,1,0.85906,0.737985,16,0.992481,0.892617,0.78483,0.156742
iris,ls,eul,20,1,0.865772,0.80129,14,1,0.90604,0.858128,0.192677
blogger,ls,weight,26,1,0.5,0.75,23,1,0.557692,0.778846,0.050821
blogger,ls,eul,26,1,0.5,0.377541,23,1,0.557692,0.434526,0.049916
blogger,ls,squared,26,1,0.5,0.25,23,1,0.557692,0.311021,0.051765
bcw,ls,weight,399,1,0.424242,0.712121,349,1,0.496392,0.748196,126.665
bcw,ls,eul,400,1,0.422799,0.306253,313,0.955263,0.548341,0.400661,150.152
bcw,ls,squared,404,1,0.417867,0.174613,281,0.932203,0.595101,0.307753,246.231
australian,ls,weight,366,1,0.469565,0.734783,308,1,0.553623,0.776812,138.841
australian,ls,eul,364,1,0.472464,0.35148,302,0.989691,0.562319,0.433337,168.189
australian,ls,squared,363,1,0.473913,0.224594,276,0.963768,0.6,0.334386,218.484
pima,ls,weight,398,1,0.481771,0.740885,334,1,0.565104,0.782552,220.832
pima,ls,eul,394,1,0.486979,0.365128,316,0.986726,0.588542,0.458215,226.703
pima,ls,squared,398,1,0.481771,0.232103,310,0.975983,0.596354,0.33876,250.622
